Title,Author,Abstract,Keywords,Publication title,Country of publication,Publication year,Source type,Language of publication,DOI Link
The Application Value of Three-Dimensional Reconstruction Technology in Liver Surgery Teaching,"Zhang H, Wu X, Luo F, Huang J.","INTRODUCTION: To explore the application value of three-dimensional (3D) reconstruction technology in liver surgery teaching. METHODS: A randomized controlled trial was conducted involving 50 physicians rotating through the Department of Hepatobiliary Surgery at Foshan Fosun Chancheng Hospital between January 2023 and June 2024. Participants were randomly assigned to a traditional teaching group (n = 25) or a 3D teaching group (n = 25). The 3D teaching group utilized 3D reconstruction technology to create dynamic liver models, combined with virtual surgical planning and surgical videos for teaching, while the traditional teaching group used conventional anatomical atlases, physical models, and surgical videos. Both groups received instruction from senior attending physicians, with consistent faculty, syllabi, clinical cases, and total teaching hours. Teaching effectiveness was evaluated through standardized assessments and questionnaires. RESULTS: Standardized assessments revealed significantly higher written test scores, practical operation scores, and total scores in the 3D group compared to the traditional group (p < 0.001). Questionnaire results indicated that the 3D teaching group scored significantly higher in 5 core dimensions, including teaching method satisfaction, learning interest stimulation, knowledge acquisition efficiency, learning motivation, and content mastery (p < 0.001). CONCLUSIONS: 3D reconstruction technology significantly enhances student learning motivation and facilitates a shift in teaching methodology from traditional passive knowledge acquisition towards a novel model of active exploratory learning. This interactive approach holds promise as a core teaching methodology for standardized liver surgery education.",three-dimensional reconstruction,J Surg Educ,United States,2026,"Research Support, Non-U.S. Gov't",unknown,10.1016/j.jsurg.2025.103847
Facilitators and Barriers to Adoption of Mobile Learning Technologies in Undergraduate Health Professional Education in Clinical Environments: A Scoping Review,"Huertas-Zurriaga A, Dobrowolska B, Chrzan-Rodak A, Fessl A, Dennerlein S, Herbstreit S, Martínez-Gaitero C, Cabrera E; on the behalf of 4D Project Consortium.","The increasing adoption of digital education, including mobile learning (mLearning), is transforming the training of future health professionals, offering advantages such as improved accessibility, timeliness, and affordability. While mLearning enhances clinical training by providing flexible access to information and supporting practical skills development, challenges such as inadequate resources and resistance from staff and patients need to be addressed for successful integration. This review aims to explore the factors for successful adoption of mLearning in clinical placements, providing valuable insights to inform best practices in its implementation. A scoping review was conducted in accordance with the Preferred Reporting Items for Systematic Reviews and Meta-Analysis extension for scoping reviews (PRISMA-ScR). Arksey and O'Malley and Joanna Briggs Institute (JBI) methodology was applied. Searching 6 electronic databases plus manual searching returned 5178 articles, with 76 articles included in analysis. All studies were published between 2008 and 2024, with a significant proportion originating from Canada (n = 12), the United States (n = 12), the United Kingdom (n = 11), and Australia (n = 11). The majority of the studies involved nursing (n = 47) and medical (n = 24) students. The analysis revealed 6 facilitators and 6 barriers. It identified positive attitudes toward mobile applications, highlighting their role in enhancing education in clinical environment, organizing training, and improving patient care. However, barriers such as the absence of regulations, ethical concerns, and technical issues were also noted, along with the need to address information literacy and skills. Mapping research regarding facilitators and barriers for introducing mobile learning technologies into undergraduate education in clinical environment has helped in creating a set of solutions which are capable to ensure the success and sustainability of mLearning. These solutions should be considered at the innovation's design, implementation, and post-implementation stages to guarantee its effectiveness in education in clinical environments. This may help to enhance the learning experience, improve knowledge retention, and develop clinical skills, while providing a cost-effective solution for clinical training programs for healthcare professions. This, in turn, has positive implications for quality of care provided.",Scoping review,J Med Syst,United States,2026,Scoping Review,unknown,10.1007/s10916-025-02325-6
"Exploring the Multidimensional Advantages of Productive Failure in Cultivating Clinical Thinking, Collaboration, Stress Management, and Learning Retention in Resident Physicians","Ding Y, Wang H, Wang X, Angula LN, Fang N.","The Productive Failure (PF) technique is an educational strategy that uses collaborative problem-solving to facilitate resident physicians' understanding of new concepts. A novel implementation of this approach is PF simulation, in which they engage in simulation before receiving comprehensive teaching on the involved aspects. PF commences with the generation and consolidation phases, where resident physicians develop and analyze the advantages and constraints of various Representations and Solution Methods. These are followed by the knowledge assembly phases, respectively. Wherein physicians gain essential concepts by organizing their representations and thoughts in alignment with established responses. PF is deliberately designed to induce failure in problem-solving; however, in the following review, this process of failure can help resident physicians better acquire target ideas. The crucial aspect of PF design is that throughout the problem-solving phase, physicians receive no instructional support or scaffolding. Explicit failure-driven scaffolding is an alternative method for enhancing the efficacy of preparatory problem-solving. This narrative review examines the theoretical foundation of PF and its role in collaboration, clinical reasoning development, stress management, and knowledge retention among resident physicians. Using cognitive psychology, clinical reasoning theories, and reflective practice, we examined how PF helps people learn from failure, shift from traditional teaching to retain knowledge long-term, and develop flexible skills in complex clinical settings. Highlighting these components underscores the significance of practical simulations, varied information sources, and systematic feedback in cultivating these competencies. The role of PF in medical education policy suggests ways to integrate it into future training models to address current curriculum gaps. Future directions for PF in medical education include individualized learning, interdisciplinary collaboration, and the integration of future technologies such as virtual reality (VR). PF constitutes a viable educational approach for augmenting the clinical and cognitive competencies of resident physicians, equipping them with the intricacies of contemporary medical practices.",stress management,Adv Med Educ Pract,New Zealand,2025,Review,unknown,10.2147/AMEP.S546816
Digital Solutions in HF Education: What Can Patients and Clinicians Gain?,"Castiello T, Hill L, Man S, Elseidy S, Griffin D, Schuuring MJ.","PURPOSE OF REVIEW: Heart failure (HF) imposes an expanding global health burden, necessitating innovative approaches to education for both patients and clinicians. This review evaluates the evolving landscape of digital health tools in HF education and examines how these technologies may enhance accessibility, personalisation, and engagement in contemporary care. RECENT FINDINGS: Emerging evidence demonstrates that digital solutions-ranging from remote educational platforms and interactive applications to AI-assisted learning and immersive reality technologies-can meaningfully improve patient self-management, support clinician knowledge acquisition, and strengthen overall care quality. These tools offer substantial advantages, including remote access to high-quality information, dynamic and interactive learning experiences, and opportunities for continuous monitoring. Nonetheless, challenges persist, particularly regarding equitable access, digital literacy, data quality, and integration into existing clinical workflows. Digital technologies hold considerable promise in optimising HF education for both patients and clinicians. When effectively implemented, they have the potential to improve patient outcomes, enhance clinical decision-making, and support more efficient healthcare delivery. Continued innovation-particularly in AI, virtual and augmented reality, and personalised learning systems-will be essential to address remaining limitations and fully realise the transformative potential of digital HF education.",Self-management,Curr Heart Fail Rep,United States,2026,Review,unknown,10.1007/s11897-025-00738-5
Mixed reality neurosurgical simulations and adult learning theories: a systematic review,"Giraldo JP, Dholaria N, Williams N, Michaels C, Ehredt RB, Fotias DJ, Cho SS, Sonntag VKH, Uribe JS.","BACKGROUND: Neurosurgical education relies on rigorous training to help learners develop technical proficiency and neuroanatomical comprehension. Traditional teaching methods, such as cadaveric dissections and live surgical observations, face limitations associated with accessibility, cost, and ethical concerns. Mixed reality (MR), an emerging technology within extended reality, offers an interactive and immersive approach to surgical training. This review examines the effectiveness of MR in neurosurgical education through established adult learning theories, aiming to determine the optimal integration model for enhancing trainee skill acquisition and knowledge retention. METHODS: A systematic literature search of MEDLINE, Scopus, Embase, and Cochrane databases was conducted. The search included studies of MR applications in neurosurgical education aligned with adult learning theories. A total of 341 articles were identified, with 18 meeting the inclusion criteria after screening. Studies were categorized based on their integration of adult learning theories, including experiential learning, constructivism, behaviorism, cognitivism, and self-directed learning. Data extraction focused on MR applications, assessment metrics, and performance improvements among trainees. RESULTS: The review found that MR-based neurosurgical training improved spatial understanding, procedural accuracy, and trainee engagement. Experiential learning was the most frequently applied model (18 studies), followed by constructivism (15 studies), behaviorism (7 studies), and cognitivism (6 studies). Studies on cranial procedures demonstrated enhanced spatial cognition and motor skills, whereas studies exploring spinal procedures, such as pedicle screw placement, showed increased precision and greater trainee confidence. Although no studies explicitly emphasized andragogy or connectivism, MR's integration of feedback mechanisms and real-time simulation was found to facilitate skill refinement and knowledge retention. CONCLUSIONS: MR-based neurosurgical training aligns effectively with theories of adult learning, particularly experiential and constructivist learning. The technology enhances procedural accuracy and spatial awareness, contributing to improved neurosurgical education. Although MR accelerates the learning curve, randomized controlled trials are needed to evaluate its long-term impact on surgical performance. Incorporating MR into neurosurgical curricula could revolutionize training by fostering active learning, optimizing skill acquisition, and improving patient safety.",Virtual simulation,J Clin Neurosci,Scotland,2026,Systematic Review,unknown,10.1016/j.jocn.2025.111839
[Exploration and Practice of Constructing a New Ecology of Experimental Stomatology Practice Teaching Driven by Digital Intelligence],"Zhang Y, Zheng Q, Wang Y, Zhang M, Shen J, Hao A, Han X, Ye L.","The innovative development of integrating digital technology with education has created a new framework and ecosystem for stomatology education. Taking the innovative ecological construction of experimental teaching at West China School of Stomatology, Sichuan University as a representative case, we systematically explored the innovative pathways and practical paradigms for experimental teaching in stomatology empowered by digital intelligence across multiple dimensions, including knowledge acquisition, clinical competency development, and evaluation of experimental teaching. A 4-wheel-driven stomatology experimental teaching system comprising intelligent-guided learning, intelligence-enhanced critical thinking, intelligence-enabled practice, and intelligent evaluation was established by West China School of Stomatology. By organically integrating technologies such as artificial intelligence, virtual simulation, and mixed reality, this system promotes a shift in the teaching paradigm from a ""credit-oriented"" approach to a ""competency-oriented"" paradigm. This transformation helps achieve seamless integration and a closed-loop process encompassing knowledge internalization, clinical reasoning, skills training, and comprehensive evaluation in experimental teaching. Practice demonstrates that this system effectively enhances students' self-directed learning skills, precision in clinical operations, and interdisciplinary diagnostic reasoning, providing valuable insights and references for advancing the application of digital technologies in the training of stomatology professionals.",Virtual simulation,Sichuan Da Xue Xue Bao Yi Xue Ban,China,2025,Journal Article,unknown,10.12182/20251360302
Cinematic Rendering in Anatomy Education: Revolutionizing Visual Learning,"Sarangi PK, Narayan RK, Nikhileswar K, Panda S.","Cinematic Rendering (Siemens Healthliners, Erlangen, Germany) is an advanced imaging technique that converts radiological data into highly realistic 3D visualizations, offering a transformative tool for anatomy education. Traditional teaching methods often lack spatial clarity and interactivity, limiting students' understanding of complex anatomical relationships. Cinematic Rendering overcomes these challenges by providing lifelike detail, dynamic exploration, and the ability to visualize real patient cases and pathological changes. This enhances knowledge retention, spatial comprehension, and clinical reasoning. The technology also supports remote collaboration and offers an ethical alternative to cadaver-based teaching. As medical schools begin adopting Cinematic Rendering, emerging virtual and augmented reality applications are expected to further expand its educational impact. Overall, Cinematic Rendering represents a significant advancement in anatomical teaching, delivering immersive, accurate, and clinically relevant learning experiences.",radiology-based teaching,Cureus,United States,2025,Editorial,unknown,10.7759/cureus.99250
Continuance intention to use mobile learning among college students: integrating quality factors and the expectation confirmation model,"Qiu X, Wu J, Li H.","In light of the exponential rise of mobile device usage and advancements in information technology, mobile learning has ascended as an integral conduit for information and knowledge acquisition among educators and learners. Based on the expectation confirmation model, this study examines the mechanisms by which quality factors influence the continuance intention toward mobile learning among university students. A random sampling methodology was employed, yielding a robust sample of 278 students across three educational institutions in Jiangxi Province. A Partial Least Squares Structural Equation Modeling approach was used to analyze the data. The outcomes manifested significant positive associations across all relationships, with the exceptions being between system quality and perceived usefulness, information quality and confirmation, and service quality and perceived usefulness. Additionally, the study found no gender differences in the correlations between perceived usefulness and continuance intention or satisfaction and continuance intention. Based on these findings, the authors present suggestions for educational institutions, educators, system designers, and researchers to enhance the continuance intention to use mobile learning among college students.",Quality,Sci Rep,England,2026,Journal Article,unknown,10.1038/s41598-026-35949-w
Workflow-embedded AI as a cognitive scaffold: A randomized trial on knowledge retention and diagnostic competency in undergraduate radiology education,"Li J, Zhao H.","BACKGROUND: Traditional didactic methods in medical imaging education, predominantly reliant on static images (non-augmented, traditional PACS workflow that requires manual, unguided search and interpretation), consistently fail to bridge the theory-practice divide, contributing to high diagnostic error rates. While the integration of artificial intelligence (AI) with Picture Archiving and Communication Systems (PACS+AI) offers transformative potential, robust evidence quantifying its impact on longitudinal competency development remains scarce. OBJECTIVE: This study aims to quantitatively evaluate the efficacy of a cognitively optimized PACS+AI framework versus conventional PACS in enhancing radiology education across four critical domains: theoretical knowledge, clinical decision-making competencies, AI acceptance, and knowledge retention. METHODS: In a prospective single-blind randomized controlled trial (RCT), 110 medical imaging undergraduates were randomized to PACS+AI (n = 55) or standard PACS (n = 55) groups. Theoretical knowledge was assessed using validated item-bank assessments; clinical decision-making competencies were evaluated through lesion detection, anatomical localization, diagnostic accuracy, and report completeness; AI acceptance was measured using the Technology Acceptance Model (TAM); and knowledge retention was tracked through immediate, 1-month, and 3-month follow-up assessments. The PACS+AI framework provided three core cognitive support functions: automated lesion annotation, structured diagnostic prompting, and workflow-contextualized feedback. RESULTS: The PACS+AI group demonstrated significantly superior outcomes across all domains: theoretical knowledge retention was substantially higher (79.3 % vs. 19.7 % at 3 months, P < 0.001, d=1.95); clinical decision-making competencies showed progressive improvement with large effect sizes (Δ=12.4-18.1, all P < 0.001, d=1.88-2.48); AI acceptance scores were significantly elevated across all TAM constructs (all P < 0.001, d>1.9); and knowledge retention was maintained longitudinally with amplified effects over time. CONCLUSION: The PACS+AI framework significantly enhances radiology education by optimizing cognitive load distribution, resulting in sustained knowledge retention, superior clinical decision-making competencies, and heightened AI acceptance. This integrated teaching model effectively bridges the gap between theory and practice, cultivates professionals adaptable to the artificial intelligence environment, and aligns with the core needs of the new generation of medical education.",Workflow-embedded learning,Eur J Radiol Open,England,2026,Journal Article,unknown,10.1016/j.ejro.2026.100724
Virtual clinical simulation as a pedagogical strategy in healthcare learning: Evidence and gap map,"Lino MM, Engler JC, Guesser JC, Castro LSEPW, Flôr JDS, Amadigi FR, Oriá MOB, Silva AR, Díaz DA.","AIM: To map and characterize, systematically, the volume, scope and distribution of systematic review evidence on virtual clinical simulation in healthcare education, describing the educational outcomes assessed, the contexts and modalities where virtual simulations have been implemented and the main evidence gaps identified. BACKGROUND: Virtual clinical simulations are increasingly used to support healthcare education and training. However, existing evidence on their effectiveness remains fragmented, with variations in methodological quality and scope. DESIGN: Evidence and Gap Map (EGM) following Campbell Collaboration Guidance. METHODS: A systematic search was conducted across nine databases and two gray literature sources. Eligible studies included systematic reviews examining healthcare professionals or students using virtual simulations. Data were extracted using the PICOS framework and reviewed independently by two researchers. Methodological quality was assessed using AMSTAR-2 and confidence in findings was appraised using CERQual. RESULTS: A total of 118 reviews met inclusion criteria: 91 systematic, 25 scoping and 2 umbrella reviews. Most were published within the past four years and originated from high-income countries. We identified seven categories across the results: (1) Learning and Knowledge Acquisition; (2) User Perception; (3) Development of Technical Skills; (4) Simulation Performance; (5) Development of Practical Skills; (6) Transfer to Real Clinical Practice; and (7) Program Effectiveness. More than half of the systematic reviews were rated as low or critically low quality, with only 10 % achieving high methodological rigour. CONCLUSIONS: Virtual clinical simulations demonstrate potential to enhance learning outcomes in healthcare education. However, evidence is limited by uneven methodological quality, concentration in high-income settings and a lack of research on emerging technologies and long-term educational impacts. Future high-quality, comparative studies are needed to strengthen the evidence base.",Virtual Clinical Simulation,Nurse Educ Pract,Scotland,2026,Systematic Review,unknown,10.1016/j.nepr.2026.104713
The effectiveness of virtual reality for K-12 foreign language learning: a systematic review of recent randomized controlled trials,"Sun L, Song X.","BACKGROUND: Despite the increasing adoption of immersive Virtual Reality (VR) in K-12 educational settings, there is a notable absence of systematic, high-quality experimental research evaluating its efficacy in facilitating foreign language acquisition. METHODS: Following a systematic search of five databases that yielded 1,054 records, six randomized controlled trials (RCTs) met the inclusion criteria. Because of considerable heterogeneity, a narrative synthesis was conducted following the Synthesis Without Meta-analysis (SWiM) guideline, with findings structured into a primary contrast (VR vs. non-VR) and a secondary analysis (VR vs. VR designs). RESULTS: The primary contrast analysis indicated that VR interventions generally had a positive effect compared to non-VR controls, particularly for vocabulary and listening. A notable finding was a consistent positive effect for VR in promoting long-term knowledge retention. The risk of bias evaluation indicated that each of the included studies was classified as presenting ""some concerns"". CONCLUSION: Across a small and heterogeneous set of recent RCTs, immersive VR shows promising effects, especially for long-term retention. However, the evidence for immediate learning gains is inconclusive. A more critical finding is the profound heterogeneity and methodological concerns within the evidence base, which preclude any single, overarching conclusion about VR's effectiveness.",virtual reality,Front Psychol,Switzerland,2026,Systematic Review,unknown,10.3389/fpsyg.2025.1714481
What should AI explain to you? Visions of older adults regarding explainable AI,van Leersum CM.,"BACKGROUND AND OBJECTIVES: Artificial intelligence (AI) combined with smart sensors or conversational agents are becoming part of our lives, and have the potential to improve aging in place by supporting independent living. Trust and willingness to use AI seem essential for actual embedding. Explainable AI (XAI), originating from the recognition that AI infrastructures often operate in an opaque, ""black boxed"" way, might assist in understanding the underlying logic of AI-made decisions. However, it is unknown what older adults think about XAI and what they consider as needed explainability. RESEARCH DESIGN AND METHODS: I conducted 28 semi-structured interviews to explore XAI in the worlds of older adults. Inductive analysis was applied to analyze what do older adults know about AI and how do they imagine our society with AI? What is XAI to them and how do they value explainability? FINDINGS: The analysis resulted in nine themes: four regarding the knowledge on AI of older adults, including definitions, knowledge acquisition, attitudes, and expectations, and five themes were leading for the views on XAI in which XAI is not desirable, XAI is necessary, or collaboration is preferred. DISCUSSION AND IMPLICATIONS: The visions of XAI are different from current technological discourses. For older adults, XAI is not only technological, but a constellation between humans and machines. Most argue that a form of joint decision-making is important. As a follow-up, it seems recommended to explore the enactment of XAI in real life, and investigate the form or degree of XAI needed and for whom.",Gerontechnology,Gerontologist,United States,2026,Journal Article,unknown,10.1093/geront/gnaf308
Effectiveness of fully immersive virtual reality-based simulation training on objective knowledge acquisition in acute coronary syndrome/ST-elevation myocardial infarction emergency management: a pre-post-intervention study,"Einloft J, Russ P, Bedenbender S, Meyer HL, Morgenschweis ML, Ganser A, Jerrentrup A, Hirsch MC, Grgic I.","AIMS: Effective management of emergencies, particularly acute coronary syndrome (ACS), demands rapid, guideline-based interventions to optimize outcomes. However, many medical students and young professionals report feeling unprepared due to limited hands-on experience. Virtual reality (VR) presents a promising training tool, though its efficacy remains unproven. METHODS AND RESULTS: In this single-center study, 247 medical students were assigned to three different guidance modes to manage a virtual ST-elevation myocardial infarction patient using the Simulation-based Training of Emergencies for Physicians using Virtual Reality (STEP-VR) application. A pre-post-test design, based on European Society of Cardiology (ESC) guidelines, was used to evaluate learning outcomes. Our results showed a significant increase in knowledge after the training. Students in the tutor-moderated 'human guidance' group demonstrated the greatest knowledge improvement ( M =  + 24%, SD = 13% ), being significantly better than the 'no guidance' group ( M = 14% , SD = 9% ). However, there was no significant difference between the 'human guidance' group and the 'integrated guidance' group ( M =  + 19%,  SD = 14% ), which used an embedded learning mode within STEP-VR. To evaluate the potential impact on clinical performance, we calculated composite quality indicators based on ESC-defined metrics. Consistently, we found a significant improvement in these indicators [clinical quality indicators (CQI) 0.47 (pre) vs. 0.76 (post) and 0.8 (post), respectively], with no significant difference between the 'human guidance' and 'integrated guidance' groups. CONCLUSION: In conclusion, our findings demonstrate that VR-based acute coronary syndrome/ST-elevation myocardial infarction training is both operationally feasible and educationally effective. Notably, integrated guidance yielded outcomes comparable to tutor-led instruction, underscoring the potential of this approach as a platform for independent, extracurricular learning. While our data suggest VR training may support clinical performance, future studies with objective assessments are needed to confirm its real-world value.",VR-based simulation training,Eur Heart J Digit Health,England,2025,Journal Article,unknown,10.1093/ehjdh/ztaf094
Application of renal pathology three-dimensional animation in clinical clerkship teaching for medical students: a randomized-controlled trial,"Zhang Q, Xie Y, Ding F, Ma S, Wang W.","OBJECTIVES: Teaching renal pathology, characterized by complex spatial relationships and dynamic pathological processes, poses significant challenges. Traditional methods such as static slides often fail to convey these concepts effectively. This study evaluated the efficacy of custom-developed renal pathology three-dimensional (3D) animations in enhancing learning outcomes and satisfaction during students’ internal medicine clerkships in nephrology. METHODS: A randomized controlled trial was conducted. 93 students undertaking nephrology clerkships were randomly assigned 1:1 to either a conventional teaching group or a 3D animation group (intervention group). The intervention group utilized specifically developed 3D animations depicting renal microstructure and the dynamic progression of common pathologies. Teaching effectiveness was assessed via pre- and post-teaching written examinations. Student and faculty satisfaction with the 3D animations was evaluated using 5-point scale questionnaires. RESULTS: Baseline knowledge scores were comparable between groups. Post-teaching scores were significantly higher in the 3D animation group, representing a greater score improvement (34.5 ± 34.8 vs. 19.1 ± 32.4, p = 0.03). Over 95% of students in 3D animation group rated the 3D animations superior to traditional slides for vividness and conceptual understanding, 89% reported increased learning initiative and outcomes. Faculty unanimously agreed animations improved structural explanation clarity and student attentiveness. CONCLUSIONS: Incorporating 3D renal pathology animations significantly improved knowledge acquisition and achieved exceptionally high satisfaction among students and faculty during internal medicine clerkships. This approach effectively addresses traditional teaching difficulties in renal pathology, enhances engagement, and promotes self-directed learning. It offers a valuable model for teaching complex spatial and dynamic biomedical concepts in medical education. TRIAL REGISTRATION: Chinese Clinical Trial Registry ChiCTR2500112643, 2025-11-18, retrospective registration. SUPPLEMENTARY INFORMATION: The online version contains supplementary material available at 10.1186/s12909-026-08663-4.",Teaching effectiveness,BMC Med Educ,England,2026,Journal Article,unknown,10.1186/s12909-026-08663-4
The impact of generative AI health knowledge acquisition on adolescents' physical activity: the mediating role of exercise self-efficacy and the moderating effect of health information literacy,"Sun Q, Gou H, Xiang L, Hu C, Fang Y.","BACKGROUND: This study investigates the impact of generative artificial intelligence health knowledge acquisition (GAI-HKA) on adolescents' physical activity (PA), with a focus on the mediating role of exercise self-efficacy (ESE) and the moderating role of health information literacy (HIL). METHODS: Using stratified cluster random sampling, a total of 2,306 valid questionnaires were collected from 10 secondary schools across five cities in southern China. Data were obtained using the self-developed Generative AI Health Knowledge Acquisition Scale, the Adolescent Exercise Self-Efficacy Scale, the Health Information Literacy Scale, and Liang's revised Physical Activity Rating Scale. Structural equation modelling with PROCESS v3.5 macro (5,000 bootstraps) was employed to test direct, mediating, and moderating effects. RESULTS: GAI-HKA was significantly and positively associated with adolescents' PA (β = 0.376, p < 0.001). ESE partially mediated this relationship (indirect effect = 0.065, 95% CI [0.052, 0.079]). HIL positively moderated the pathway from GAI-HKA to ESE (interaction term β = 0.079, p < 0.001); the effect was more substantial among adolescents with high HIL (β = 0.367) compared with those with low HIL (β = 0.209). CONCLUSION: GAI-HKA directly enhances adolescents' PA and indirectly promotes exercise behavior through strengthening ESE. Moreover, higher HIL amplifies the positive effect of AI-based health knowledge on ESE. These findings suggest that schools and families should integrate efforts to cultivate adolescents' information literacy and efficacy beliefs when promoting AI-based health interventions, thereby maximizing the benefits of digital technologies in fostering youth physical activity.",physical activity,Front Public Health,Switzerland,2026,Journal Article,unknown,10.3389/fpubh.2025.1705265
Virtual Reality in Training and Assessment Among Clinical Students and Lecturers at a Nigerian University: A Phenomenological Study,"Komolafe AO, Ijarotimi OA, Okunola OA, Adetutu OM, Oluwatope AO, Abiona O, Agunbiade OM, Ayinde AT, Aregbesola SB, Akinwale OB, Kolawole BA, Idowu L, Adediwura AA, Otuyemi OD.","BACKGROUND: Virtual reality (VR) technology is increasingly used in health care professionals' education as a novel tool for teaching, learning, and assessment. OBJECTIVE: This study explored the experiences of clinical students and lecturers with VR for training and assessment at a Nigerian institution. It also explored students' perceptions of the usefulness of VR in improving their clinical abilities, knowledge retention, engagement, and overall learning experience. METHODS: A qualitative research study was conducted among 24 clinical students and 8 clinical lecturers. A developed Virtual reality model to TRain and Assess Clinical Students (VTRACS) was used to train and assess clinical students using clinical scenarios. Data were collected through 4 focus group discussions conducted among the clinical students and 8 in-depth interviews conducted among the clinical lecturers. Trustworthiness was maintained, and ethical approval for the study was obtained. The focus group discussions and in-depth interviews were audio-recorded, transcribed verbatim, and analyzed using NVivo (version 11; QSR International). RESULTS: Many of the participants had no previous experience with VR in teaching and learning activities, but judging from their engagement with VTRACS, they defined VR as an alternative learning method (alternative to the traditional physical method). Major themes emerging from the study were expression of excitement, simple and useful innovation, proficiency enhancement, challenges with innovation, and uniformity. The clinical students adjudged VTRACS as an educational supplement with a feeling of unlimited learning access, enhancing clinical abilities while positively impacting their confidence and reducing clinical errors. The participants also described the objectivity and standardization of clinical scenarios as drivers of uniformity in training and assessment of clinical students. The participants were, however, concerned about the loss of empathy with the use of VTRACS, which may negatively impact the affective domain of learning. CONCLUSIONS: The use of VR in the teaching and assessment of clinical students at a Nigerian university is perceived as a complementary method of learning that increases skill acquisition, provides unlimited access to training, and enhances proficiency. While VR is considered to be engaging and beneficial to health care professionals' education, there is a need for its effective incorporation into clinical courses and mitigation of challenges such as cost and technology to ensure the realization of the full potential of VR in health care professionals' education.",virtual reality,JMIR Med Educ,Canada,2026,Journal Article,unknown,10.2196/75021
The role of epistemic beliefs in predicting ChatGPT adoption and avoidance in higher education,"Urhahne D, Kehle L, Dietrich L, Kremer K.","AI-based tools such as ChatGPT are currently reshaping the landscape of higher education and significantly impacting student learning and academic achievement. With such powerful tools, individuals might get the impression of being guided by an omniscient epistemic authority that can be trusted absolutely and has the right answer to every question. However, little empirical research has yet addressed how these epistemic beliefs are associated with the adoption or avoidance of ChatGPT in higher education. Based on the theoretical frameworks of Hofer and Pintrich (1997) as well as Schommer (1990), we conducted a questionnaire study to assess epistemic beliefs about generative artificial intelligence and its adoption or avoidance. The sample consisted of 185 students (74.6% female) with an average age of 22.50 years from a German university. The questionnaire assessed the source and certainty of knowledge, the justification of knowledge claims, and the speed of knowledge acquisition. Results show that students' epistemic beliefs strongly predict their adoption of ChatGPT and moderately predict their avoidance of it. Epistemic beliefs thus emerge as an important factor in explaining learners' engagement with generative AI in higher education.",Higher education,Acta Psychol (Amst),Netherlands,2026,Journal Article,unknown,10.1016/j.actpsy.2026.106334
"Augmented reality and embodied learning: effects of embodiment degrees on students' learning achievement, cognitive load, and technology acceptance","Suo X, Yin B, Feng X.","INTRODUCTION: Embodiment in augmented reality has attracted increasing attention in educational research. This study investigated how the degree of embodied experience in augmented reality affects high school students' learning achievement, cognitive load, and technology acceptance. METHODS: Drawing on embodied cognition and the Cone of Experience, augmented reality learning tasks were designed with different degrees of embodied experience and implemented in biology instruction on cell structure. A total of 122 Chinese high school students participated and were assigned to either low- or high-embodiment augmented reality experiences. Data were analyzed using analyses of covariance, with learners' prior knowledge scores entered as a covariate to control for pre-existing differences in knowledge level. RESULTS: Students who engaged in high-embodiment augmented reality achieved better learning performance in both knowledge retention and transfer, and they also reported significantly lower cognitive load. In terms of technology acceptance, high-embodiment augmented reality enhanced perceived usefulness, while low-embodiment augmented reality was associated with higher perceived ease of use. DISCUSSION: These findings demonstrate that the degree of embodiment in augmented reality experiences differentially influences learning achievement, cognitive load, and technology acceptance, offering empirical evidence and practical guidance for optimizing embodied augmented reality design in education.",technology acceptance,Front Psychol,Switzerland,2026,Journal Article,unknown,10.3389/fpsyg.2025.1712261
